song_id,title,作詞,作曲,編曲,full_lyrics,song_url
254128,I'm out,秋元康,湊貴大,湊貴大,"WOW WOW WOW...
WOW WOW WOW...

Blues　錆び付いたフェンス　掴んだ指先
真っ赤な血の匂いがするよ
Truth　隙間から見てた遥か遠い夢
部外者は立ち入り禁止だと　notice

追い返された
(誰が何の権限で僕たちの未来取り上げてしまうのか？)
唾を吐いて
中指を立てる

大人しく眠れよ
身の丈のベッドで
もう何もしなくていいんだ
空が見えないこの街で
時間だけ使い果たせ！
天の声が聴こえるよ
生きる価値もないのなら
That's all！ I'm out

Blues　悲しみの色は　青だって聞いたよ
あの空よりも燻(くす)んだ青色
Truth　寄宿舎の窓辺で誰かが歌ってた
どこかで聴いたことあるような　So sad...

懐かしい曲
(誰が悪いわけじゃなく人はみな誰かを不幸せにしてる)
残酷なくらい
他人事なんだ

尻尾巻いて　帰れ！
甘ったれたハウスへ
社会を恨んでいればいい
愛を信じてないんだろう？
もう全て諦めろ！
そんなことを言われても
何かできるわけじゃない
That's all！ I'm out.

噛んでたガムを
金網につけ
向こうの景色
見れなくしたよ
叶わない
希望なんか
ここに捨てて行こう

大人しく眠れよ
身の丈のベッドで
もう何もしなくていいんだ
空が見えないこの街で
時間だけ使い果たせ！
天の声が聴こえるよ
生きる価値もないのなら
That's all！ I'm out

WOW WOW WOW...
WOW WOW WOW...",https://www.uta-net.com/song/254128/
232900,危なっかしい計画,秋元康,ナスカ,佐々木裕,"大人しいコだね
なんて言われるけど
そんな簡単にわからないでしょ？
外見は本性を隠すもの
こんな私がどんな女の子かお楽しみに

交差点渡ってる途中　横に並んで声を掛けて来るなんて
やばいスカウトみたい　マジで絶対に無理よ　キモイ
ごめん　すぐについて来るような軽いノリなら他当たれ
プライド高いからね　強引に誘って

そう　シャツのボタンを上まで留めているような
遊ばない　生真面目なタイプって決めつけないで

さあ　制服コインロッカーに預けて
駅のトイレで着替えてしまおう
夏じゃないか　もっと　大人っぽく
いつもと違うもう一人の自分になろう
メイクをすりゃ何とかなるでしょう
イメージ以上もっとサバ読もう
夏じゃないか　イエー　経験しようか　イエー
危なっかしい計画

考えてみれば
海に行ってないよ
休みは　ずっと塾に通ってた
そうだ　祭りも花火大会も…
溜まってた分　羽目を外そうかと狙ってる

ワンボックスカーに乗って　どこへ行こうがまるで気にはしないけど
他に誰かいるって聞いてないし面倒な予感
じゃあここで降ろしてよ　なんて言い出したらダサすぎじゃない？
どうなるんだろうってスリル味わってる

ねえ　ポニーテールをほどいて自由になりたい
友達に後でLINEしたくなるこれって自慢だ

もう　制服コインロッカーに預けて
守ってたもの　忘れてしまおう
夏じゃないか　ちょっと　背伸びして
昨日と違う新しい純情を知ろう
大人になりゃ当たり前のこと
何かに落ちるように恋をする
夏じゃないか　イエー　勢いで行こう　イエー
渋谷で生まれ変われ！

いつかは　どこかで気付くはず
素敵な彼でもなかったって
真夏の関係は秋風が吹くまで持たないもの
あの空　真っ青で　ギラギラと燃えたぎった
太陽に負けたくない気がして
どうせみんな夢見て浮かれるのなら
恋しなきゃ損損

制服コインロッカーに預けて
駅のトイレで着替えてしまおう
夏じゃないか　もっと　大人っぽく
いつもと違うもう一人の自分になろう
メイクをすりゃ何とかなるでしょう
イメージ以上もっとサバ読もう
夏じゃないか　イエー　経験しようか　イエー
青春は熱いね
全部　渋谷で学ぶんだ",https://www.uta-net.com/song/232900/
254130,アンビバレント,秋元康,浦島健太・TETTA,浦島健太・TETTA,"Ambivalent about
Ambivalent about
Ambivalent about
Ambivalent about

好きだと言うなら否定しない
嫌いと言われたって構わない
誰かの感情　気にしてもしょうがない
他人に何を　思われても
何を言われても聞く耳持たない
干渉なんかされたくない　興味がない
Blah Blah(Hey！)
Blah Blah(Hey！)
孤独なまま生きていきたい
Blah Blah(Hey！)
Blah Blah(Hey！)
だけど一人じゃ生きられない

ラブソングばかり流れるシーズン
マジ恋人いない聞くなリーズン
誰かは誰かを必要多分
世の中ロマンスで回ってる

ねえ　何をしたいの？　どこに行きたいの？
私だったら何もしたくない

誰かと一緒にいたって
ストレスだけ溜まってく
だけど一人じゃずっといられない　Ambivalent

あっちを立てる気もないし
こっちを立てる気だってまるでない
人間関係　面倒で及び腰
話を聞けば巻き込まれる
いいことなんか　あるわけないじゃない
それでも誰かがいなけりゃダメなんだ
I know(Hey！)
I know(Hey！)
ちゃんとしていなくちゃ愛せない
I know(Hey！)
I know(Hey！)
ちゃんとしすぎてても愛せない

夏だから猫も杓子も猛ダッシュ
ハッシュタグつけた恋なんてごめん
太陽味方につけたような
よくいるタイプの単細胞

さあ　何を始める？　どんな会話する？
やりたいことは別にないけれど…

ずっと自分だけの世界に
引きこもっていたいのに…
青空の下で　まだ無理をしなきゃいけないか

好きだと言うなら否定しない
嫌いと言われたって構わない
誰かの感情　気にしてもしょうがない
他人に何を　思われても
何を言われても聞く耳持たない
干渉なんかされたくない　興味がない
Blah Blah(Hey！)
Blah Blah(Hey！)
孤独なまま生きていきたい
Blah Blah(Hey！)
Blah Blah(Hey！)
だけど一人じゃ生きられない

OH WOW WOW WOW WOW WOW！！
OH WOW WOW WOW WOW WOW！！
OH WOW WOW WOW WOW WOW！！
OH WOW WOW WOW WOW WOW！！

Blah Blah(Hey！)
Blah Blah(Hey！)

Blah Blah(Hey！)
Blah Blah(Hey！)

願望は二律背反
押し付けの理性なんて信じない

あっちを立てる気もないし
こっちを立てる気だってまるでない
人間関係　面倒で及び腰
話を聞けば巻き込まれる
いいことなんか　あるわけないじゃない
それでも誰かがいなけりゃダメなんだ
I know(Hey！)
I know(Hey！)
ちゃんとしていなくちゃ愛せない
I know(Hey！)
I know(Hey！)
ちゃんとしすぎてても愛せない

一人になりたい
なりたくない
一人になりたい
なりたくない
Oh！ Yeah！
だけど孤独に
なりたくない
どうすればいいんだ

この夏

Ambivalent about
Ambivalent about
Ambivalent about
Ambivalent about",https://www.uta-net.com/song/254130/
232893,永遠の白線,秋元康,石井健太郎,石井健太郎,"白線　どこまで引くのか？
校庭をまっすぐに進んで
このまま途切れずに
続いて行く未来

教室の片隅で
ガラス窓を開けてみたって
本当の風は入らない

教科書をめくるほど
強い風が吹くわけでもなく
無力な僕はため息しか出ない

授業が終わったら
制服を脱ぎ捨てるように
さあ外に出て
新しい世界を探そう！

白線　どこまで引くのか？
永遠はこの先にあるのか？
空の下で何度も問いかけてみる
どこで終わりになるのか？
希望の涯(はて)　道さえ消えても
自分の方から立ち止まれないだろう

野球部の補欠たち
声を枯らし身構えるけど
ボールに無視されている

汗をかいたその分
願い一つ叶えばいいけど
取り残されて終わるだけなんだ

そう人は誰も皆
自分から諦めてしまう
よく頑張ったと
言い訳ができればいいのか

白線　そんなに引けない
限界よりももっと手前で
伸ばした手をやっぱり下ろそうとする
ここで終わりでいいのか？
夢と石灰はまだ残ってるはず
誰も行ってない永遠はこの先だ

白線　どこまで引くのか？
永遠はこの先にあるのか？
空の下で何度も問いかけてみる
どこで終わりになるのか？
希望の涯(はて)　道さえ消えても
自分の方から立ち止まれないだろう

僕らの前に永遠の白線がある",https://www.uta-net.com/song/232893/
227208,エキセントリック,秋元康,ナスカ,the Third,"あいつがああだって言ってた
こいつがこうだろうって言ってた
差出人のない噂の類(たぐ)い
確証ないほど拡散する

意外にああ見えてこうだとか
やっぱりそうなんだなんてね
本人も知らない僕が出来上がって
違う自分　存在するよ

何が真実(ほんと)なんてどうでもいい
わかってもらおうなんて無理なんだ
倒れて行く悪意のドミノ
止めようたって止められない

訂正したとこで
また同じことの繰り返し

もう、そういうのうんざりなんだよ

誰もが風見鶏みたいに
風の向き次第で
あっちこっちへとコロコロ変わる
世間の声に耳を塞いで
生きたいように生きるしかない
だから僕は一人で
心閉ざして交(まじ)わらないんだ

I am eccentric　変わり者でいい
理解されない方が　よっぽど楽だと思ったんだ
他人(ひと)の目　気にしない　愛なんて縁を切る
はみ出してしまおう　自由なんてそんなもの

あれってああだって聞いたよ
ホントはこうらしいって聞いたよ
推測だらけの伝言ゲーム
元のネタはどこにある？

絶対誰にも言うなよ
ここだけの話って耳打ち
漏れない秘密　いつも筒抜けで
口が固い奴などいるものか

もう誰が味方かなんてどうでもいい
損得は関係ない
信じる　信じない
無責任な友達ごっこ

肯定も否定も嘘も
都合いいようにされるだけ

もう、そういうの勘弁してよ

すべてがフィクション　妄想だって
大人げないイノセンス
嘘とか欺瞞(ぎまん)に溢れる世界
キレイな川に魚はいないと
したり顔して誰かは言うけど
そんな汚い川なら
僕は絶対泳ぎたくはない

I am eccentric　変わり者でいい
普通なんかごめんだ　僕は僕でいさせてくれ
敬遠されたって　好きなように生きてくよ
カメレオンみたいに同じ色に染まれない

冗談じゃない
興味もない
合わせたくない
そんなにあんなに器用じゃない
普通でいることって何だ？
僕は普通と思ってる
みんなこそ変わり者だ

I am eccentric　変わり者でいい
理解されない方が　よっぽど楽だと思ったんだ
他人(ひと)の目　気にしない　愛なんて縁を切る
はみ出してしまおう　自由なんてそんなもの",https://www.uta-net.com/song/227208/
232895,AM1:27,秋元康,Linia,Linia,"No one's here
No one's there
WOW WOW WOW…
WOW WOW WOW…

真夜中のファミレスに行く
家にいたって眠れないし…
フードを被り背中丸めて
明るい街角の光
誘蛾灯みたいな看板
孤独が集まる避難所

ハーブティーばかり
もう飲めない
自分の頭の中を覗いてみる
Are you angry？
溢(あふ)れ出した
言いたかったこと
思うままにノートに書き留めた
一人になりたい

誰もいない
ここにもどこにも
みんな消えてしまえばいい
誰もいない
望んだ場所さ
干渉されたくなんかない

WOW WOW WOW…
スマホのイヤホンから
WOW WOW WOW…
聴こえるMUSIC
WOW WOW WOW…
耳を塞ぐみたいに
WOW WOW WOW…
拒絶するだけで
一人になれる

こんな時間に何をしてる？
誰もみんな興味ないまま
テーブルごとに世界ができてる
私はカウンターの席で
現実に背中を向けて
不毛な愛を夢見てた

今のうちに書こう
未来の遺書を
人間　いつ死ぬかわからないし…
Are you happy？
浮かんで来ない
残したい言葉
このままいなくなたって気づかれない
いつでも一人だ

誰もいない
過去にも未来も
今も見つからないだろう
誰もいない
そこにいたって
面倒くさいだけじゃないか

WOW WOW WOW…
どうして生まれたんだ？
WOW WOW WOW…
考えてみた
WOW WOW WOW…
「余計なお世話だった」と
WOW WOW WOW…
誰に言えばいい？

No one's here…

理解をされたいわけじゃないんだ
やさしくされたくはない
話を聞いても欲しくはない
このファミレスがすべてでいいよ
それが　それが　私
期待　期待　しない
求めてるものはここにもないよ
一人でいいんだ

誰もいない
ここにもどこにも
みんな消えてしまえばいい
誰もいない
望んだ場所さ
干渉されたくなんかない

WOW WOW WOW…
スマホのイヤホンから
WOW WOW WOW…
聴こえるMUSIC
WOW WOW WOW…
耳を塞ぐみたいに
WOW WOW WOW…
拒絶するだけで
一人になれる

WOW WOW WOW…
WOW WOW WOW…",https://www.uta-net.com/song/232895/
219727,大人は信じてくれない,秋元康,Masayoshi Kawabata,Masayoshi Kawabata,"いいことなんかない
退屈な毎日さ
やりたいこともない
夢なんかひとつもない

心が叫び続けていたって
誰にも聴こえないよ
(助けて)

大人は信じてくれない
こんな孤独でいるのに
僕が絶望の淵にいるって思ってないんだ
And why？ Believe me I really wanna die, don't ya know？
Why？ No way I can find my sign

どこかのゴミの上
カラスが鳴いているよ
嫌われ者でいい
愛なんか欲しくもない

涙を流し続けていたって
まだ気づいてないだろう
(虚(むな)しい)

大人は判ってくれない
胸が苦しいことさえ…
そうさ　自分が子供の頃を忘れているんだ
The past. Memories are fading fast you're losing control
Oh, don't give up just tell me now, oh

もし　痛みが消えないなら
自分自身傷つけて
もっと強い痛みで忘れてしまおうか
やさしさに触れるだけで
真っ赤な血が滲んでくる
僕が　僕がいなくなったって…
(誰にも…)

大人は信じてくれない
こんな孤独でいるのに
僕が絶望の淵にいるって思ってないんだ
And why？ Believe me I really wanna die, don't ya know？
Why？ No way I can find my sign

いつもと変わらない
誰も探してくれない
時代の片隅で
僕は殺されてるんだ",https://www.uta-net.com/song/219727/
238404,風に吹かれても,秋元康,シライシ紗トリ,シライシ紗トリ,"That's the way
That's the way

枯葉がひらひら　空から舞い降りて
舗道に着地するまで時間を持て余してた
思っていたより地球はゆっくりと回っている
胸の奥に浮かぶ言葉を拾い集めよう

ずっと前から知り合いだったのに
どうして友達なんだろう？
お互いがそんな目で
意識するなんてできなかった

風に吹かれても
何も始まらない
ただどこか運ばれるだけ
こんな関係も
時にはいいんじゃない？
愛だって　移りゆくものでしょ？
アレコレと考えても
なるようにしかならないし…

That's the way
That's the way

あの枝で揺れている一枚の葉みたいに
未来の君の気持ちは予想がつかなかった
なぜ奇跡的なチャンスを見逃してしまうんだろう？
時が過ぎて振り返ったらため息ばかりさ

ふいにそういうアプローチをすると
やっぱり気まずくなるのかな
恋愛の入り口に
気づかない方が僕たちらしい

風が止んだって
ハッピーでいられるよ
そばにいるだけでいいんだ
そんな生き方も
悪くはないんじゃない？
愛しさがずっと続くだろう
ハグでもキスでもない
曖昧なままで So cool！

成り行きに流されたらどこへ行くの？
あんなに眩しい太陽の日々よ
翳(かげ)り行く思い出が消えるまで
僕たちは空中を舞っていよう
人生は(人生は)
風まかせ(風まかせ)
さよならまで楽しまなきゃ

風に吹かれても
何も始まらない
ただどこか運ばれるだけ
こんな関係も
時にはいいんじゃない？
愛だって　移りゆくものでしょ？

風が止んだって
ハッピーでいられるよ
そばにいるだけでいいんだ
そんな生き方も
悪くはないんじゃない？
愛しさがずっと続くだろう
ハグでもキスでもない
曖昧なままで So cool！

That's the way
That's the way
That's the way
That's the way",https://www.uta-net.com/song/238404/
212665,語るなら未来を…,秋元康,PENGUINS PROJECT(CWF),佐々木望,"ふいだった
ただのアンラッキー
心が一瞬声上げた

ガラス瓶
落として割れたら
元になんて戻せないんだ

何が入ってたかなんて
明かしても意味がない
アスファルトの上
広がった
ただの黒い染み

もう　失った人生なんて語るな
ほんの一部でしかないんだ
手に入れたのは脆(もろ)い現実と
飾られた嘘のレッテル
破片(かけら)を拾い集めるな
語るなら　未来を…

終わったんだ
無駄なエピローグ
往生際が悪すぎる

手に取って
確かめようにも
そこにないならしょうがない

誰のせいでもないだろう
振り返る余裕ない
腹立たしさとか
悔しさは
思い上がりだよ

今だから言えることは語るな
墓の中まで持って行け
言葉にすれば安い願望と
オーバーに盛った真実
過去など自己嫌悪しかない
語るなら　予言を…

人は心の中に
ガラスの瓶がある
愛や夢を詰め込んで
割らぬように大事に
守っているけれど…

もう　失った人生なんて語るな
ほんの一部でしかないんだ
手に入れたのは脆い現実と
飾られた嘘のレッテル

今だから言えることは語るな
墓の中まで持って行け
言葉にすれば安い願望と
オーバーに盛った真実
過去など自己嫌悪しかない
語るなら　予言を…",https://www.uta-net.com/song/212665/
291910,カレイドスコープ,秋元康,白須賀悟,河原レオ・白須賀悟,"誰のためにそんなに優しく微笑むの？
視線の向こう側に　カレイドスコープ

いつの間に恋をしたのか　気づかず
何となくおかしいなって思った

前よりも明るくなった表情
楽しいこと　何か見つけたのね

私だけ取り残されて　一人は寂しいよ

瞳の中　キラキラ輝いてる光は
好きになってしまったときめきの破片(かけら)
ずっとそばにいたのに　ここから見えなかった
人の気持ちはいつも
カレイドスコープ

この人とすぐにわかった　仕草で…
俯くほど恥ずかしくなるのね

正直なあなたらしくて何だか羨ましい

心の奥　想いが乱反射しているよ
好きになってしまえば不安も輝く
感情が動く度　花びらが咲くように
隠した独り言は
カレイドスコープ

ため息で舞い上がってく
何通りもの言葉

瞳の中　キラキラ輝いてる光は
好きになってしまったときめきの破片(かけら)
ずっとそばにいたのに　ここから見えなかった
人の気持ちはいつも
カレイドスコープ
カレイドスコープ",https://www.uta-net.com/song/291910/
245287,ガラスを割れ！,秋元康,前迫潤哉・Yasutaka.Ishio,APAZZI,"OH OH OH OH OH…
HEY！HEY！
OH OH OH OH OH…
HEY！HEY！

川面(かわも)に映る自分の姿に
吠えなくなってしまった犬は
餌もらうために尻尾振って
飼い慣らされたんだろう
(BOWWOW)
噛みつきたい気持ちを殺して
聞き分けいいふりをするなよ
上目遣いで媚びるために
生まれて来たのか？
(HOUND DOG)

今あるしあわせにどうしてしがみつくんだ？
閉じ込められた見えない檻から抜け出せよ

Rock you！
目の前のガラスを割れ！
握りしめた拳で Oh！Oh！
やりたいこと　やってみせろよ
おまえはもっと自由でいい　騒げ！
(OH OH OH OH OH…)
邪魔するもの　ぶち壊せ！
夢見るなら愚かになれ
傷つかなくちゃ本物じゃないよ

他人(ひと)を見ても吠えないように
躾(しつけ)けられた悲しい犬よ
鼻を鳴らしすり寄ったら
誰かに撫でられるか？
(BOWWOW)
リードで繋がれなくても
どこへも走り出そうとしない
日和見(ひよりみ)主義のその群れに
紛れていいのか？
(HOUND DOG)

すべて失っても手に入れたいものがある
がむしゃらになってどこまでも追い求めるだろう

Rock you！
抑圧のガラスを割れ！
怒り込めた拳で Oh！Oh！
風通しをよくしたいんだ
俺たちはもう犬じゃない　叫べ！
(OH OH OH OH OH…)
偉い奴らに怯(ひる)むなよ！
闘うなら孤独になれ
群れてるだけじゃ始まらないよ

目の前のガラスを割れ！
握りしめた拳で Oh！Oh！
やりたいこと　やってみせろよ
おまえはもっと自由でいい　騒げ！
(OH OH OH OH OH…)
邪魔するもの　ぶち壊せ！
夢見るなら愚かになれ
傷つかなくちゃ本物じゃないよ

想像のガラスを割れ！
思い込んでいるだけ Oh！Oh！
やる前からあきらめるなよ
おまえはもっとおまえらしく　生きろ！
(OH OH OH OH OH…)
愛の鎖引きちぎれよ
歯向かうなら背中向けるな
温もりなんかどうだっていい

吠えない犬は犬じゃないんだ",https://www.uta-net.com/song/245287/
205638,キミガイナイ,秋元康,SoichiroK・Nozomu.S,後藤勇一郎・Soulife,"長い夜は口を閉ざし
星も見えず　月は雲に隠れてる
誰が聴いているのだろう
マーラーの憂鬱な交響曲
今　心は　すべてが空っぽ
ただ　時間が過ぎてしまえばいい
君のいないこんな世界
想像よりももっと
退屈だった

些細なことで喧嘩をして
だけど二人　意地張って
謝らずに家に帰り
頭　冴えたままで眠れない

つけっぱなしのパソコンさえ
触る気になれずログアウト
ベッドの上で天井を見てる

本当の
孤独は
誰もいないことじゃなく
誰かがいるはずなのに
一人にされてる
この状況

こんな夜は息を潜め
灯りつけず　闇の中で目を開(ひら)く
壁の向こう側の気配
隣人もまだ起きてるのだろう
もう　今さら　電話したくない
ふと　愚かな自分が嫌になる
君のいないこんな宇宙
枕を投げて叫ぶ
消えてなくなれ！

どうしてだろう　喉が乾く
猫も寝ているキッチンで
ミルクを飲んだら寂しくなった

本当の
孤独は
誰もいないことじゃなく
誰かがいるはずなのに
一人にされてる
この状況

やがて空が白み始め
鳥が鳴いて　人は誰も目を覚ます
どんな甘い夢も消えて
現実の歯車が動く
さあ　これからどうすればいいか？
ほら　朝陽が眩しく思えるよ
君がいればどんな日でも
何とか生きて行ける
今日は楽しい

愛しているとわかってても
それと別の話
ここからは
お互い
何にも見えないだろう

僕は僕で
君は君で
ボクガイテモ　キミガイナイ

こんな夜は息を潜め
灯りつけず　闇の中で目を開(ひら)く
壁の向こう側の気配
隣人もまだ起きてるのだろう
もう　今さら　電話したくない
ふと　愚かな自分が嫌になる
君のいないこんな宇宙
枕を投げて叫ぶ
消えてなくなれ！

イマ　コノセカイニ
ナゼ　キミガイナイ？　AH-",https://www.uta-net.com/song/205638/
232898,君をもう探さない,秋元康,片桐周太郎,若田部誠,"君をもう探さない
雨が止まない街角
追いかけても
逃げるなら
勝手にしろ！

少女が一人　ずぶ濡れのままで
走ってる憂鬱がわからない
泣いているのか　怒っているのか
怖い表情で…

学生鞄　道端に撒いて
嫌いなものは捨ててしまった
僕は希望を拾い集めながら
愛に呆れてる

知らないうちに大人になってた
鏡の自分　絶望して
君は逃げ出したんだろう？
衝動

君をもう探さない
傘が隠す人混み
純情　守ることが
そんなに大事なことか？
人はいつも汚(けが)れて
誰も逞(たくま)しくなるんだ
割り切れたら
一人だって
生きられる

理屈じゃなくて　感情のままに
向き合うことを拒絶して来た
君はいつしかYESという言葉
抵抗し始めた

あの日のような子どもじゃないんだ
知りたくない　ずるさを許せ
今は弱くないだろう？
目覚めろ！

僕はもう守らない
過保護すぎちゃいけない
何かに傷つかなきゃ
自由は口先だけさ
人は大人になんか
誰もなりたくないんだ
ある日　突然
当たり前の
道を行く

しゃがみ込んで動けない
どこかの行き止まり
君はどんな
夢を見てる？
諦めきれない
少女

君をもう探さない
傘が隠す人混み
純情　守ることが
そんなに大事なことか？
人はいつも汚(けが)れて
誰も逞(たくま)しくなるんだ
割り切れたら
一人だって
生きられる

生きたくない",https://www.uta-net.com/song/232898/
263861,黒い羊,秋元康,ナスカ,ナスカ,"信号は青なのかそれとも緑なのかどっちなんだ？
あやふやなものははっきりさせたい
夕暮れ時の商店街の雑踏を通り抜けるのが面倒で
踏切を渡って　遠回りして帰る

放課後の教室は苦手だ
その場にいるだけで分かり合えてるようで
話し合いにならないし
白けてしまった僕は無口になる
言いたいこと言い合って解決しよう
なんて楽天的すぎるよ

誰かがため息をついた
そうそれが本当の声だろう

黒い羊　そうだ　僕だけがいなくなればいいんだ
そうすれば　止まってた針はまた動き出すんだろう？
全員が納得するそんな答えなんかあるものか！
反対が僕だけならいっそ無視すればいいんだ
みんなから説得される方が居心地悪くなる
目配せしてる仲間には僕は厄介者でしかない

真っ白な群れに悪目立ちしてる
自分だけが真っ黒な羊
と言ったって同じ色に染まりたくないんだ

薄暗い部屋の灯りをつけるタイミングって一体いつなんだろう？
スマホには愛のない過去だけが残ってる
人間関係の答え合わせなんか僕にはできないし
そこにいなければよかったと後悔する

人生の大半は思う様にはいかない
納得できないことばかりだし諦めろと諭されてたけど
それならやっぱ納得なんかしないまま
その度に何度も唾を吐いて
噛みついちゃいけませんか？

No No No No
全部　僕のせいだ

黒い羊　そうだ　僕だけがいなくなればいいんだ
そうすれば　止まってた針はまた動き出すんだろう？
全員が納得するそんな答えなんかあるものか！
反対が僕だけならいっそ無視すればいいんだ
みんなから説得される方が居心地悪くなる
目配せしてる仲間には僕は厄介者でしかない
わかってるよ

La La La...

白い羊なんて僕は絶対なりたくないんだ
そうなった瞬間に僕は僕じゃなくなってしまうよ
まわりと違うそのことで誰かに迷惑かけたか？
髪の毛を染めろと言う大人は何が気に入らない？
反逆の象徴になるとでも思っているのか？
自分の色とは違うそれだけで厄介者か？

Oh
自らの真実を捨て白い羊のふりをする者よ
黒い羊を見つけ　指を差して笑うのか？
それなら僕はいつだって
それでも僕はいつだって
ここで悪目立ちしてよう",https://www.uta-net.com/song/263861/
232907,月曜日の朝、スカートを切られた,秋元康,饗庭純,若田部誠,"OH OH OH…

どうして学校へ行かなきゃいけないんだ
真実を教えないならネットで知るからいい

友達を作りなさい　スポーツをやりなさい
作り笑いの教師が見せかけの愛を謳(うた)う

反抗したいほど
熱いものもなく
受け入れてしまうほど
従順でもなく
あと何年だろう
ここから出るには…
大人になるため
嘘に慣れろ！

月曜日の朝、スカートを切られた
通学電車の誰かにやられたんだろう
どこかの暗闇でストレス溜め込んで
憂さ晴らしか
私は悲鳴なんか上げない

OH OH OH…

これから先もずっと電車は満員で
夢も希望もないのに各駅停車かい？

努力は報われますよ　人間は平等ですよ
幸せじゃない大人に説得力あるものか

死んでしまいたいほど
愚かにもなれず
生き永らえたいほど
楽しみでもない
もう持て余してる
残りの人生
目立たないように
息を止めろ！

誰もが
何かを
切られながら
生きている

よく晴れてた朝、スカートを切られた
無視された社会の隅に存在する孤独
自分はここにいる　それだけ伝えたい
したり顔で
あんたは私の何を知る？

月曜日の朝、スカートを切られた
通学電車の誰かにやられたんだろう
どこかの暗闇でストレス溜め込んで
憂さ晴らしか
私は悲鳴なんか上げない

OH OH OH…",https://www.uta-net.com/song/232907/
